	0	1	2	3	predicted	Predicted_label_1	Predicted_label_-1
0	0.0	0.0	0.0	1.0	1	0.9055051849855459	0.09449481501445409
1	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
2	0.0	0.0	0.0	1.0	1	0.9055051849855459	0.09449481501445409
3	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
4	0.0	0.0	1.0	-1.0	-1	0.3472917312532776	0.6527082687467225
5	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
6	1.0	0.0	0.0	1.0	1	0.7108962087681167	0.28910379123188334
7	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
8	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
9	0.0	0.0	1.0	-1.0	-1	0.3472917312532776	0.6527082687467225
10	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
11	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
12	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
13	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
14	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
15	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
16	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
17	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
18	0.0	0.0	0.0	1.0	1	0.9055051849855459	0.09449481501445409
19	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
20	1.0	0.0	1.0	1.0	-1	0.12013287454608663	0.8798671254539134
21	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
22	1.0	0.0	1.0	1.0	-1	0.12013287454608663	0.8798671254539134
23	1.0	0.0	1.0	1.0	-1	0.12013287454608663	0.8798671254539134
24	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
25	0.0	0.0	0.0	1.0	1	0.9055051849855459	0.09449481501445409
26	1.0	0.0	1.0	-1.0	-1	0.12013287454608663	0.8798671254539134
27	1.0	0.0	1.0	1.0	-1	0.12013287454608663	0.8798671254539134
